date,cu_regime,guidance_status_v2,throughput_tpd,cu_solution_ppm_avg,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,analogue_count,analog_specific_p25,analog_specific_p50,analog_specific_p75,analog_free_cn_p50,analog_complexed_p50,analog_recovery_p50
2025-11-28,High Cu,Critical,12375.184500000001,6099.4375,5.7780956720281615,168.3125,16.6985625,80.5879314132482,20,3.50066661554524,4.599922622598922,5.664722656027234,204.46875,12.375661458333333,77.84097754262285
2025-11-29,High Cu,Critical,3711.6765,6570.0,8.256376869050953,32.0,16.267999999999997,68.13461035509305,20,4.274579716022947,5.168597409995833,6.120939355869493,204.46875,12.375661458333333,77.84097754262285
2025-12-02,High Cu,Critical,8414.5005,6453.35,4.278328820587746,7.226999999999999,14.397772999999999,67.19122044103638,20,3.795209911763721,5.177004281562001,6.27557869404207,168.04910714285717,12.660677083333333,77.30315165076854
2025-12-03,High Cu,Critical,8805.1005,5559.0,6.675676217437836,31.916666666666668,13.735166666666665,58.45295978440057,20,3.795209911763721,4.741799299153765,6.120939355869493,167.28348214285717,13.031906249999999,75.84126650516225
2025-12-04,High Cu,Critical,13133.925000000001,4981.5625,4.925793317686829,285.46875,14.216093749999999,68.48722787978775,20,3.5570932954962173,4.631021838843687,5.856487014625832,182.65625,12.597286458333333,77.84097754262285
2025-12-05,High Cu,Watch,14454.153,4729.53125,3.053101762517665,627.3125,14.222687500000001,59.628366743032544,20,3.194604478651069,4.164276514086139,5.585570921569069,330.265625,12.269937500000001,80.01080189865677
2025-12-06,High Cu,Watch,13678.812,4455.8125,0.9957005038156824,446.3125,13.2015,63.386394268301906,20,2.921052527602015,3.6923560205170176,4.929690191069685,412.359375,10.972671875,80.01080189865677
2025-12-07,High Cu,Critical,12695.4765,4130.666666666667,0.5364115320917651,216.33333333333334,11.526583333333333,69.51895158295113,20,2.7707898349827844,4.190960093301357,4.929690191069685,330.6875,11.57478125,80.06099325052799
2025-12-08,High Cu,Critical,13258.917000000001,3907.0625,2.824891354248616,264.6875,10.884375,60.742344943141724,20,3.50066661554524,4.631021838843687,5.52164946870287,225.875,12.375661458333333,77.39339054247563
2025-12-09,High Cu,Critical,15041.0295,3918.46875,3.471171969977188,249.3125,10.998187499999998,58.07380337371361,20,2.281707445734573,3.5176020899676015,4.614353301527339,376.25,10.4504375,80.27709325049045
2025-12-12,High Cu,Critical,18003.7305,4023.34375,3.5934219299716794,187.8125,10.884687499999998,71.18579162776389,20,2.7996190037764728,4.164276514086139,5.074693989452465,225.875,12.375661458333333,77.39339054247563
